Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Algeria,Africa,45350148,271503,4,6881,,182820,1,81802,,5987,152,230861,5091,Africa
Nigeria,Africa,216746934,266598,,3155,,259917,,3526,11,1230,15,5708974,26339,Africa
Zimbabwe,Africa,15331428,264276,,5671,,258184,,421,12,17238,370,2525756,164744,Africa
Uzbekistan,Asia,34382084,251247,,1637,,241486,,8124,23,7307,48,1377915,40077,Europe
Mozambique,Africa,33089461,233214,,2242,,228805,,2167,11,7048,68,1371127,41437,Africa
Martinique,North America,374087,229807,,1098,,,,,12,614314,2935,828928,2215870,
Laos,Asia,7481023,218023,,758,,,,,,29143,101,1233207,164845,WesternPacific
Afghanistan,Asia,40754388,209497,9,7896,,191294,,10307,45,5140,194,1206102,29594,EasternMediterranean
Iceland,Europe,345393,209137,,229,,,,,2,605504,663,1996384,5780036,Europe
Kyrgyzstan,Asia,6728271,206708,,2991,,196406,,7311,131,30722,445,1907195,283460,Europe
Guadeloupe,North America,399794,201886,,1010,,,,,19,504975,2526,938039,2346306,
El Salvador,North America,6550389,201785,,4230,,179410,,18145,8,30805,646,2610114,398467,Americas
Trinidad and Tobago,North America,1406585,189918,,4355,,185101,,462,8,135021,3096,900861,640460,Americas
Maldives,Asia,540985,185738,,311,,163687,,21740,25,343333,575,2213831,4092223,South-EastAsia
Ghana,Africa,32395450,171229,,1462,,169726,,41,2,5286,45,2531089,78131,Africa
Namibia,Africa,2633874,171156,,4090,,166776,,290,,64983,1553,1062663,403460,Africa
Uganda,Africa,48432863,170544,,3630,,100431,,66483,3,3521,75,3012408,62198,Africa
Jamaica,North America,2985094,154416,,3514,,102529,,48373,,51729,1177,1183986,396633,Americas
Cambodia,Asia,17168639,138719,,3056,,135660,,3,,8080,178,3091420,180062,WesternPacific
Rwanda,Africa,13600464,133194,,1468,,131647,,79,,9793,108,6021981,442778,Africa
Cameroon,Africa,27911548,124392,,1965,,122344,,83,13,4457,70,1751774,62762,Africa
Malta,Europe,444033,117610,,828,,116117,,665,4,264868,1865,2119315,4772877,Europe
